Item,HQ,Quantity,Avg,Min,Max,ID
Coeurl Skin,False,21,44.48153409090909,1,158,5317
Amphiptere Skin,False,12,357.90017513134853,133,603,12572
Saurian Skin,False,11,33.05275229357798,1,115,7599
Boar Hide,False,14,336.256,120,555,5303
Tiger Skin,False,36,267.8918732782369,97,474,20001
Karakul Skin,False,24,116.34683357879234,1,271,5308
Sea Swallow Skin,False,12,445.73851294903926,315,575,27736
Aldgoat Skin,False,57,270.30103092783503,131,425,5296
Hippogryph Skin,False,12,75.60181311018131,1,209,5316
Gigantoad Skin,False,73,139.66136034732273,45,251,5300
Biast Scales,False,9,444.2153024911032,79,880,5448
Zonure Skin,False,12,265.73933649289097,69,505,27735
Archaeornis Skin,False,16,690.2397995705082,473,900,12568
Dragon Skin,False,15,239.3476752255378,29,525,12571
Atrociraptor Skin,False,6,766.069423929099,424,1159,27734
Saurian Leather,True,1,319.40343347639487,9,900,7608
Saurian Leather,False,7,270.0192962542565,1,700,7608
Archaeornis Leather,True,2,2613.9311064718163,998,4900,12562
Archaeornis Leather,False,7,1988.832995951417,843,3195,12562
Raptor Leather,False,1,199.44100580270793,1,401,5285
Hard Hippogryph Leather,True,1,378.65625,2,1002,5289
Hard Hippogryph Leather,False,5,167.57359307359306,1,413,5289
Peiste Leather,False,6,78.5871459694989,1,185,5284
Amphiptere Leather,False,5,494.10760517799355,2,1002,12566
Gagana Leather,False,1,701.0158172231986,128,1403,19993
Griffin Leather,True,1,23.081818181818182,1,80,12567
Griffin Leather,False,5,8.306372549019608,1,28,12567
Dragon Leather,False,3,809.6955161626695,118,1690,12565
Halgai Mane,False,24,62.01195499296765,1,152,19985
Manzasiri Hair,False,31,185.23674242424244,1,399,19986
Wyvern Leather,True,2,2069.3256637168142,600,3400,12563
Wyvern Leather,False,2,1829.2791127541589,700,3000,12563
Eikon Leather,False,1,752.703488372093,163,1503,14155
Apkallu Down,False,5,342.8566408995081,1,850,5348
Ovim Fleece,False,12,128.49536045681657,22,262,27756
Hi-Ether,False,81,6.852348993288591,6,8,4556
X-Ether,False,20,157.06197183098593,1,440,4558
Kumbhira Leather,False,1,969.992119089317,395,1600,36250
Fleece,False,81,313.5261194029851,231,389,5347
Snurble Tufts,False,9,542.4621309370989,140,962,5349
Hi-Potion of Strength,False,3,16.359756097560975,1,50,4599
Hi-Elixir,False,10,210.6375968992248,9,521,4560
Draconian Potion of Intelligence,False,4,343.46308724832215,1,950,12625
Mega-Potion of Mind,True,2,1067.5863636363636,15,3500,4608
Mega-Potion of Mind,False,6,216.91304347826087,1,500,4608
Hi-Potion of Dexterity,False,3,7.176470588235294,1,15,4600
Hi-Potion of Vitality,False,3,7.980769230769231,7,9,4601
Hi-Potion of Intelligence,False,2,7.925170068027211,7,9,4602
X-Potion of Mind,False,1,27.76923076923077,1,75,4613
Hi-Potion of Mind,False,4,7.8,5,10,4603
Wolfram Ingot,True,4,3944.8108808290153,2005,5996,7607
Wolfram Ingot,False,8,3718.877445932029,2124,5704,7607
Silver Rings,True,2,35.796875,2,110,5088
Steel Joint Plate,True,1,1520.0285714285715,500,2950,7022
Gelato Flesh,False,12,684.0606262491672,320,1025,12635
Steel Ingot,True,1,600.1012658227849,112,1245,5058
Ishgardian Steel Ingot,False,14,13.726507713884994,1,52,7033
Copper Rings,True,2,6.316279069767442,1,25,5086
Gold Needle,True,1,2858.5652173913045,31,6016,4569
Pudding Flesh,False,10,394.9676284306826,209,597,5558
Mudstone Whetstone,True,4,226.57259713701433,1,550,5259
Siltstone Whetstone,True,2,273.4516853932584,5,595,5260
Shark Oil,False,2,4745.077519379845,1400,8000,5486
Garlean Steel Joint,False,1,93.01923076923077,1,273,5104
Cubus Flesh,False,17,346.3752265861027,170,515,27799
Darksteel Ingot,True,1,5053.733333333334,4003,5995,5060
Darksteel Ingot,False,7,4316.538302277433,2790,5600,5060
Darksteel Ore,False,7,588.7600793126239,415,785,5121
Cloud Mica,False,35,290.05369718309856,262,319,12539
Titanium Nugget,True,2,1965.512249443207,999,3000,12524
Holy Water,True,1,982.4990757855822,603,1399,12604
Holy Water,False,18,968.273276904474,498,1500,12604
Hallowed Water,True,1,315.534516765286,20,800,12605
Filtered Water,False,27,136.72599531615924,1,340,6153
Seagrot Water,False,2,28.064327485380115,1,101,7036
Gold Ore,False,14,137.28223684210528,60,225,5118
Gold Ingot,False,4,9.031468531468532,3,17,5069
Gold Ingot,True,1,14.19260700389105,6,21,5069
Effervescent Water,False,1,263.8704088704089,109,430,5491
Abalathian Spring Water,False,4,269.91117917304746,110,482,12632
Stone Vigil Lumber,False,1,41.570200573065904,1,125,7158
Dragon Blood,False,17,163.9245003700962,1,442,12630
Diremite Sinew,False,1,134.67844522968198,25,259,5320
Hippogryph Sinew,False,10,140.21488871834228,3,333,5321
Raptor Sinew,False,9,339.78275862068966,1,797,5322
Abalathian Mistletoe,False,2,255.9352441613588,10,565,12944
Thavnairian Horsetail,False,1,183.19168173598553,1,475,36220
Grenade Ash,False,3,170.24283854166666,15,365,5526
Gryphonskin Elbow Pads,False,1,271.1111111111111,19,690,5583
Necrologos Transcription,False,1,249.4756756756757,10,600,33277
Dragon Fang,False,33,5.594805194805195,1,19,12576
Wolf Fang,False,13,229.26446837146702,1,510,5444
Grade 5 Strength Alkahest,True,2,1228.5176056338028,100,2536,36227
Grade 2 Vitality Alkahest,True,2,978.55,636,1390,27793
Black Pepper Seeds,False,1,15.11111111111111,1,45,7737
Coerthan Carrot Seeds,False,2,6.48,1,20,7717
Olive Seeds,False,1,5.411764705882353,1,20,7719
La Noscean Orange Seeds,False,1,334.1024096385542,1,50001,7725
Lowland Grape Seeds,False,1,2225.544041450777,1,7001,7726
Wild Onion Set,False,1,5.266666666666667,1,20,7716
Spruce Log,False,7,529.4308390022676,370,734,5395
Astral Birch Lumber,False,2,5418.924137931034,2497,8500,12584
Spruce Lumber,True,2,1791.1252653927813,1103,2645,5378
Shattered Orchestrion Roll,False,3,123.06756756756756,85,150,22489
Figments Orchestrion Roll,False,2,752.5069444444445,50,2150,27906
Birch Log,False,3,313.6267049533381,169,491,12579
Black Willow Lumber,False,3,1397.3010033444816,139,2899,22429
Spruce Lumber,False,1,1829.9198473282443,1401,2100,5378
Holy Cedar Lumber,False,2,2003.1284004352558,799,3203,12580
Cedar Branch,False,6,334.49142156862746,15,775,5403
Cedar Log,False,7,277.2169421487603,111,468,5384
Teak Lumber,False,1,6014.028571428571,1999,10500,5375
Treated Spruce Lumber,True,3,10018.95352323838,7998,12000,5379
Sweet Cream,True,10,63.84249471458774,1,180,4852
Deepgold Ingot,False,2,501.85147801009373,44,980,27708
Mahogany Log,False,2,147.03402777777777,51,249,5391
Mahogany Lumber,True,2,486.95194085027725,140,890,5374
Treated Spruce Lumber,False,1,8138.48632218845,4211,11750,5379
Sour Cream,True,2,603.6846590909091,150,1103,12894
Acidic Secretions,False,2,584.0896830748483,201,999,5496
Rosewood Log,False,3,231.48751835535975,124,351,5393
Dark Chestnut Lumber,True,2,1540.329388560158,948,2300,12581
Dark Chestnut Branch,False,6,17.816479400749063,13,23,12585
Eft Tail,False,7,84.459927140255,1,251,4769
Aldgoat Chuck,False,12,15.637514384349828,1,50,4766
Mist Dill,False,11,236.16987740805604,53,444,12883
Highland Wheat,False,5,394.787598944591,1,850,12880
Coeurl Meat,False,20,39.74580335731415,1,4999,6150
Cockatrice Thigh,False,7,475.015479876161,1,1102,12876
Hornbill Tenderloin,False,17,2.8114285714285714,2,4,19874
Pearl Sprouts,False,6,221.61330049261085,28,450,12877
Coconut Milk,True,2,317.9128630705394,1,890,36082
Yak Milk,False,35,595.2015725518228,290,930,12888
Allagan Catalyst,False,129,98.8731396172927,1,244,9376
Clear Prism,False,172,80.3303457106274,1,218,7671
Gastornis Egg,False,3,90.0849478390462,1,229,12871
Terebinth,False,92,152.13941220798793,40,315,5728
Cider Vinegar,True,8,12.815668202764977,1,40,4859
Star Quartz,False,1,233.6995475113122,7,507,36186
Adamantoise Green Dye,False,3,748.4479166666666,301,1250,5782
Bone White Dye,False,101,42.646976090014064,1,130,5762
Blood Red Dye,False,93,197.48927875243666,10,475,5742
Ice Blue Dye,False,3,269.2247838616715,32,551,5788
Royal Blue Dye,False,2,442.32246633593195,197,718,5801
Lavender Purple Dye,False,3,858.8301486199575,535,1201,5805
Strength Materia I,False,1,17156.176470588234,66,40000,5604
Vitality Materia II,False,2,4847.686274509804,132,11900,5610
Vitality Materia I,False,2,7348.672727272728,3500,12000,5609
Mind Materia II,False,1,945.4074074074074,722,1231,5625
Mind Materia I,False,1,7995.107142857143,4400,11000,5624
Aurum Regis Nugget,False,11,1183.2512315270935,619,1777,12522
Adamantite Nugget,True,1,1954.9517045454545,799,3399,12526
Electrum Ingot,True,7,1052.4600760456274,399,1803,5066
Durium Nugget,False,2,926.8526615969582,309,1699,19942
Durium Ingot,False,3,176.6954887218045,1,439,19944
Aurum Regis Ingot,False,16,94.78653846153846,1,228,12523
Adamantite Nugget,False,1,1761.3945578231292,869,2900,12526
